time,AirTemp,ShortWave,LongWave,RelHum,WindSpeed,Rain
2016-03-24 00:00,10.11812744,105.3716736,331.7163086,88.90956879,3.101380825,0.00184
2016-03-25 00:00,8.531945801,147.655777,312.6374817,75.27487183,5.287734509,0.00342
2016-03-26 00:00,7.60894165,109.3135147,314.0027771,84.95039368,4.188149452,0.01246
2016-03-27 00:00,6.767602539,144.8268738,292.1808777,81.40026855,1.888789654,0.00101
2016-03-28 00:00,6.522393799,119.1783676,297.8319092,80.74508667,2.395879269,0.00269
2016-03-29 00:00,5.544152832,107.7039185,304.7609253,89.85572815,2.738850355,0.00504
2016-03-30 00:00,5.994592285,85.21747589,309.1645813,92.34381104,3.558701515,0.00568
2016-03-31 00:00,3.936669922,62.17769623,297.3985596,92.00878906,6.729606152,0.02025
2016-04-01 00:00,3.582971191,65.66423798,293.553833,84.2195816,6.472187042,0.00916
2016-04-02 00:00,3.35100708,107.8523102,284.6490173,60.02240372,5.800890446,0.00002
2016-04-03 00:00,3.122033691,148.3123169,278.3690186,68.67476654,3.219248772,0.00023
2016-04-04 00:00,3.46819458,140.3053284,264.6985779,68.78913116,2.144481897,0.00035
2016-04-05 00:00,3.126031494,143.3519897,261.2365723,73.00410461,1.218013644,0.00002
2016-04-06 00:00,2.982141113,143.7327118,262.6760254,76.96808624,3.167399168,0.00026
2016-04-07 00:00,3.683312988,122.6560593,290.4833984,74.75655365,3.276968956,0.0055
2016-04-08 00:00,2.610772705,114.7578354,282.2160645,71.67218781,3.738949537,0.0002
2016-04-09 00:00,2.125787354,71.61217499,282.4515686,84.82364655,5.834181786,0.00627
2016-04-10 00:00,4.132104492,90.10890961,298.0407104,90.77223969,3.808577061,0.0063
2016-04-11 00:00,5.456903076,116.3512726,304.9501953,89.47732544,1.127560496,0.0031
2016-04-12 00:00,6.134179688,129.5570679,307.1371155,86.39129639,0.407283902,0.0012
2016-04-13 00:00,5.923364258,104.5142059,305.7145081,87.81771088,0.998306215,0.00319
2016-04-14 00:00,6.153253174,113.6033096,308.1635437,84.73480988,2.740557671,0.00076
2016-04-15 00:00,6.544213867,100.7912674,310.9103394,85.49730682,3.127034903,0.00055
2016-04-16 00:00,7.687158203,117.909874,317.0498962,87.6700592,1.859594464,0.00062
2016-04-17 00:00,9.020196533,138.0363617,314.6920776,85.31962585,0.566680491,0.00008
2016-04-18 00:00,10.61156616,172.2861023,319.2228394,75.33394623,1.413268924,0.00006
2016-04-19 00:00,8.873254395,171.0993958,308.3822937,84.35021973,1.559639454,0.00026
2016-04-20 00:00,10.60692749,240.9580688,322.8712463,76.28672791,1.91814816,0
2016-04-21 00:00,11.04796753,172.699295,332.971405,82.94945526,4.847312927,0.00018
2016-04-22 00:00,11.22628174,170.8703766,330.646759,75.3816452,4.833866119,0
2016-04-23 00:00,10.58446655,180.2455444,321.8730774,71.85773468,7.91244936,0.00033
