time,RelHum,Rain,LongWave,ShortWave,WindSpeed,AirTemp
2016-04-23 00:00,71.85773468,0.33,321.8730774,180.2455444,7.91244936,10.58446655
2016-04-24 00:00,59.97499466,0.37,294.5162354,185.7935181,8.670969963,7.748071289
2016-04-25 00:00,65.51686859,0.98,286.8252563,168.3166046,4.767906189,6.992730713
2016-04-26 00:00,69.2623291,3.53,285.9256287,181.7795715,2.020748615,6.312188721
2016-04-27 00:00,75.73690796,3.19,303.921936,177.4511261,2.381378412,6.674401855
2016-04-28 00:00,68.24191284,0.11,302.1004333,172.9803009,4.044425011,8.141473389
2016-04-29 00:00,71.70848083,1.04,317.2320251,147.1706085,7.872499466,8.976739502
2016-04-30 00:00,72.25588226,0.24,336.8316956,173.8158569,6.935920715,11.91112671
2016-05-01 00:00,74.0157547,0.02,343.6413574,180.9254303,7.873613834,13.32027588
2016-05-02 00:00,84.35939789,9.57,333.5575562,114.3340683,5.376988888,10.68795166
2016-05-03 00:00,76.35764313,4.23,297.2618408,138.106842,6.165819168,7.064141846
2016-05-04 00:00,67.89311981,3.07,296.0801697,162.0344696,6.497750282,7.079705811
2016-05-05 00:00,71.39812469,4,303.057251,145.6352386,2.898297787,6.570245361
2016-05-06 00:00,83.94680786,4.94,303.4805908,117.5146255,2.719377041,5.388970947
2016-05-07 00:00,85.12501526,10.98,309.1981506,89.23284149,4.287315369,6.449517822
2016-05-08 00:00,82.48712921,4.29,305.2459412,114.3553085,4.865266323,6.235803223
2016-05-09 00:00,82.2731781,5.79,306.727478,77.5072937,6.39387989,6.091943359
2016-05-10 00:00,64.38646698,0.12,306.3987122,170.567337,4.939554214,7.53057251
2016-05-11 00:00,66.86392212,1.98,304.9985352,164.0617676,2.72655797,6.83526001
2016-05-12 00:00,68.0711441,0.14,301.0808411,171.1766663,2.402050257,6.728387451
2016-05-13 00:00,59.73257828,0.05,296.496521,162.215332,4.663798809,6.024407959
2016-05-14 00:00,67.18641663,0.05,319.6684875,166.2272949,4.196769238,8.895501709
2016-05-15 00:00,72.65139008,1.98,329.9785461,146.7148895,3.847838163,10.57946167
2016-05-16 00:00,79.73696899,12.29,325.2989807,189.8077393,3.1463899612426798,10.70079956
2016-05-17 00:00,75.43432617,6.27,318.8258057,117.680481,5.308790207,8.50725708
2016-05-18 00:00,70.73503876,0.22,320.4728699,192.4931946,2.502837896,10.10839233
2016-05-19 00:00,69.37998962,0.16,324.4322815,200.2085876,2.202694416,10.98879395
2016-05-20 00:00,77.63700104,2.12,306.350647,206.5625305,2.51275444,10.17815552
2016-05-21 00:00,80.46011353,0.69,315.7348328,225.3853455,3.315520763,10.90563354
2016-05-22 00:00,80.14794922,0.23,316.8904419,243.0265656,3.252053738,10.85601196
2016-05-23 00:00,87.26281738,1.84,328.5726929,157.4811401,6.660759926,9.559106445
2016-05-24 00:00,88.34658051,4.21,328.3537292,120.2625809,5.848895073,12.64885864
2016-05-25 00:00,79.21231079,0.21,327.0450439,168.8982697,3.075202942,13.10088501
2016-05-26 00:00,74.46284485,1.83,340.9882507,207.5266571,5.294611454,14.35338745
2016-05-27 00:00,73.34088135,2.94,340.2198486,214.2700958,4.268139839,14.31118164
2016-05-28 00:00,65.62888336,0.09,318.8625793,229.7973785,2.803220987,12.71077881
2016-05-29 00:00,71.78069305,0.56,311.6567078,214.0537567,2.073808908,11.75744019
2016-05-30 00:00,71.30975342,2.03,318.0284424,211.6024475,1.784190655,12.01879272
2016-05-31 00:00,76.22527313,0.83,308.2024841,204.4418335,1.440027118,11.30993042
2016-06-01 00:00,85.94477844,4.2,334.2763977,168.8859406,3.696755648,10.60540161
2016-06-02 00:00,93.19224548,34.35,328.3190002,62.6735878,6.530123234,8.108361816
2016-06-03 00:00,73.80400085,4.43,319.355072,128.8606873,4.313673973,8.413201904
2016-06-04 00:00,64.78356171,0.24,300.9449463,173.9577026,4.844070911,8.800714111
2016-06-05 00:00,77.87918854,2.66,330.7650757,126.8704605,4.029428005,9.491693115
2016-06-06 00:00,77.29727173,6.95,330.2624207,148.3068237,2.917081118,9.968164063
2016-06-07 00:00,71.29559326,1.26,316.0493164,211.8668213,3.945582628,10.05184326
2016-06-08 00:00,79.9712677,4.88,335.1405029,202.1929779,6.222677708,11.76018677
2016-06-09 00:00,83.62264252,3.32,342.4268188,181.6459961,6.278220654,12.11507568
2016-06-10 00:00,66.48577118,0.04,314.7217102,252.7661896,4.214048862,12.3800293
2016-06-11 00:00,76.70983124,0.13,341.7319336,219.3759613,2.325110197,12.40053711
2016-06-12 00:00,82.92932129,0.78,356.710968,230.2627411,2.521143913,15.95543823
2016-06-13 00:00,88.36732483,0.43,346.0748901,229.9265594,1.893696785,14.42870483
2016-06-14 00:00,86.45574951,0.61,364.2530823,183.993103,1.300918818,15.52996216
2016-06-15 00:00,84.13991547,11.69,359.9186096,200.3986969,3.075799465,16.05376587
2016-06-16 00:00,72.52017212,0.02,325.5209045,238.4135895,3.546804428,14.55196533
2016-06-17 00:00,64.93663788,0.01,316.1807861,208.3451996,4.088366032,12.2517334
2016-06-18 00:00,62.6156044,0.03,312.7936401,227.1824493,4.097835541,11.59411011
2016-06-19 00:00,74.74295807,0.01,320.5346985,298.1104126,1.344797015,11.54165039
2016-06-20 00:00,85.74616241,0.06,331.4359741,180.3642578,1.201290965,11.93364868
2016-06-21 00:00,86.00131226,0.6,345.8176575,157.1061096,0.809413254,13.14486084
2016-06-22 00:00,91.69304657,10.64,343.8763123,103.3150635,1.84269166,11.8467041
2016-06-23 00:00,70.21640778,0.07,322.8497925,128.3498993,4.041323185,9.607202148
2016-06-24 00:00,63.97946548,0.16,328.8869324,163.5280151,3.480623245,10.10357056
