time,flow
2016-10-04 00:00,0.071
2016-10-05 00:00,0.07
2016-10-06 00:00,0.07
2016-10-07 00:00,0.069
2016-10-08 00:00,0.069
2016-10-09 00:00,0.069
2016-10-10 00:00,0.067
2016-10-11 00:00,0.067
2016-10-12 00:00,0.065
2016-10-13 00:00,0.075
2016-10-14 00:00,0.13
2016-10-15 00:00,0.227
2016-10-16 00:00,0.155
2016-10-17 00:00,0.128
2016-10-18 00:00,0.147
2016-10-19 00:00,0.116
2016-10-20 00:00,0.102
2016-10-21 00:00,0.091
2016-10-22 00:00,0.09
2016-10-23 00:00,0.117
2016-10-24 00:00,0.144
2016-10-25 00:00,0.121
2016-10-26 00:00,0.101
2016-10-27 00:00,0.105
2016-10-28 00:00,0.1
2016-10-29 00:00,0.093
2016-10-30 00:00,0.089
2016-10-31 00:00,0.102
2016-11-01 00:00,0.118
2016-11-02 00:00,0.103
2016-11-03 00:00,0.096
2016-11-04 00:00,0.091
2016-11-05 00:00,0.085
2016-11-06 00:00,0.079
2016-11-07 00:00,0.075
2016-11-08 00:00,0.075
2016-11-09 00:00,0.077
2016-11-10 00:00,0.078
2016-11-11 00:00,0.094
2016-11-12 00:00,0.189
2016-11-13 00:00,0.166
2016-11-14 00:00,0.183
2016-11-15 00:00,0.141
2016-11-16 00:00,0.219
2016-11-17 00:00,0.435
2016-11-18 00:00,0.21
2016-11-19 00:00,0.159
2016-11-20 00:00,0.136
2016-11-21 00:00,0.121
2016-11-22 00:00,0.114
2016-11-23 00:00,0.105
2016-11-24 00:00,0.101
2016-11-25 00:00,0.096
2016-11-26 00:00,0.092
2016-11-27 00:00,0.088
2016-11-28 00:00,0.086
2016-11-29 00:00,0.085
2016-11-30 00:00,0.082
2016-12-01 00:00,0.079
2016-12-02 00:00,0.077
2016-12-03 00:00,0.074
2016-12-04 00:00,0.071
2016-12-05 00:00,0.07
2016-12-06 00:00,0.073
2016-12-07 00:00,0.074
2016-12-08 00:00,0.072
2016-12-09 00:00,0.08
2016-12-10 00:00,0.085
2016-12-11 00:00,0.078
2016-12-12 00:00,0.075
2016-12-13 00:00,0.073
2016-12-14 00:00,0.071
2016-12-15 00:00,0.072
2016-12-16 00:00,0.086
2016-12-17 00:00,0.088
2016-12-18 00:00,0.093
2016-12-19 00:00,0.086
2016-12-20 00:00,0.09
2016-12-21 00:00,0.175
2016-12-22 00:00,0.415
2016-12-23 00:00,0.696
2016-12-24 00:00,0.683
