Date,PHY_cyno
2016-04-05 00:00:00,4.30694E-10
2016-04-06 00:00:00,4.334E-10
2016-04-07 00:00:00,4.36106E-10
2016-04-08 00:00:00,4.38812E-10
2016-04-09 00:00:00,4.41518E-10
2016-04-10 00:00:00,4.44225E-10
2016-04-11 00:00:00,4.46931E-10
2016-04-12 00:00:00,4.49637E-10
2016-04-13 00:00:00,4.52343E-10
2016-04-14 00:00:00,4.55049E-10
2016-04-15 00:00:00,4.57756E-10
2016-04-16 00:00:00,4.60462E-10
2016-04-17 00:00:00,4.63168E-10
2016-04-18 00:00:00,4.65874E-10
2016-04-19 00:00:00,4.68581E-10
2016-04-20 00:00:00,4.71287E-10
2016-04-21 00:00:00,4.73993E-10
2016-04-22 00:00:00,4.76699E-10
2016-04-23 00:00:00,4.79405E-10
2016-04-24 00:00:00,4.82112E-10
2016-04-25 00:00:00,4.84818E-10
2016-04-26 00:00:00,4.87524E-10
2016-04-27 00:00:00,4.9023E-10
2016-04-28 00:00:00,4.92936E-10
2016-04-29 00:00:00,4.95643E-10
2016-04-30 00:00:00,4.98349E-10
2016-05-01 00:00:00,5.01055E-10
2016-05-02 00:00:00,5.03761E-10
2016-05-03 00:00:00,5.06467E-10
2016-05-04 00:00:00,5.09174E-10
2016-05-05 00:00:00,5.1188E-10
2016-05-06 00:00:00,5.14586E-10
2016-05-07 00:00:00,5.17292E-10
2016-05-08 00:00:00,5.19999E-10
2016-05-09 00:00:00,5.22705E-10
2016-05-10 00:00:00,5.25411E-10
2016-05-11 00:00:00,5.28117E-10
2016-05-12 00:00:00,5.30823E-10
2016-05-13 00:00:00,5.3353E-10
2016-05-14 00:00:00,5.36236E-10
2016-05-15 00:00:00,5.38942E-10
2016-05-16 00:00:00,5.41648E-10
2016-05-17 00:00:00,6.30181E-10
2016-05-18 00:00:00,7.18714E-10
2016-05-19 00:00:00,8.07247E-10
2016-05-20 00:00:00,8.95779E-10
2016-05-21 00:00:00,9.84312E-10
2016-05-22 00:00:00,1.07285E-09
2016-05-23 00:00:00,1.16138E-09
2016-05-24 00:00:00,1.24991E-09
2016-05-25 00:00:00,1.33844E-09
2016-05-26 00:00:00,1.42698E-09
2016-05-27 00:00:00,1.51551E-09
2016-05-28 00:00:00,1.60404E-09
2016-05-29 00:00:00,1.69257E-09
2016-05-30 00:00:00,1.78111E-09
2016-05-31 00:00:00,1.86964E-09
2016-06-01 00:00:00,1.95817E-09
