DateTime,Depth,temp
2016-10-14,0,6.881463623
2016-10-15,0,7.081689453
2016-10-16,0,8.557061768
2016-10-17,0,12.01253662
2016-10-18,0,11.36528931
2016-10-19,0,9.051049805
2016-10-20,0,7.503411865
2016-10-21,0,6.405999756
2016-10-22,0,11.30797729
2016-10-23,0,11.44143066
2016-10-24,0,10.36037598
2016-10-25,0,9.982995605
2016-10-26,0,8.180596924
2016-10-27,0,6.742547607
2016-10-28,0,7.199517822
2016-10-29,0,4.715875244
2016-10-30,0,7.453546143
2016-10-31,0,7.638879395
2016-11-01,0,7.500665283
2016-11-02,0,8.154870605
2016-11-03,0,10.10665283
2016-11-04,0,8.4878479
2016-11-05,0,8.834893799
2016-11-06,0,9.340997314
2016-11-07,0,10.19957886
2016-11-08,0,9.506005859
2016-11-09,0,8.766687012
2016-11-10,0,5.034204102
2016-11-11,0,5.974969482
2016-11-12,0,10.65441284
2016-11-13,0,10.88170776
2016-11-14,0,10.14522705
2016-11-15,0,8.658166504
2016-11-16,0,3.606652832
2016-11-17,0,0.59697876
2016-11-18,0,0.263909912
2016-11-19,0,5.339074707
2016-11-20,0,7.217218018
2016-11-21,0,8.492456055
2016-11-22,0,8.518182373
2016-11-23,0,7.923272705
2016-11-24,0,5.496331787
2016-11-25,0,3.664910889
2016-11-26,0,6.094262695
2016-11-27,0,8.768304443
2016-11-28,0,9.505273438
2016-11-29,0,10.14940796
2016-11-30,0,8.236169434
2016-12-01,0,7.489587402
2016-12-02,0,6.046960449
2016-12-03,0,6.800134277
2016-12-04,0,9.06887207
2016-12-05,0,8.398858643
2016-12-06,0,4.264093018
2016-12-07,0,5.327844238
2016-12-08,0,5.188745117
2016-12-09,0,5.600671387
2016-12-10,0,4.38036499
2016-12-11,0,1.616082764
2016-12-12,0,0.268609619
2016-12-13,0,3.191949463
2016-12-14,0,2.579187012
2016-12-15,0,3.226739502
2016-12-16,0,4.124291992
2016-12-17,0,6.125024414
2016-12-18,0,5.211236572
2016-12-19,0,4.029595947
2016-12-20,0,2.466119385
2016-12-21,0,1.797692871
2016-12-22,0,2.97802124
2016-12-23,0,2.775292969
2016-12-24,0,2.319543457
2016-12-25,0,2.585534668
2016-12-26,0,1.412805176
2016-12-27,0,2.389642334
2016-12-28,0,1.55602417
2016-12-29,0,-0.964575195
2016-12-30,0,-0.929968262
2016-12-31,0,-0.77890625
2017-01-01,0,0.575128174
2017-01-02,0,0.037011719
2017-01-03,0,-2.868475342
2017-01-04,0,0.947015381
2017-01-05,0,2.994104004
2017-01-06,0,7.738366699
2017-01-07,0,9.513024902
2017-01-08,0,10.3492981
2017-01-09,0,7.78359375
2017-01-10,0,5.158074951
2017-01-11,0,2.317651367
2017-01-12,0,3.872979736
2017-01-13,0,7.220178223
2017-01-14,0,6.288751221
2017-01-15,0,6.310174561
2017-01-16,0,5.131982422
2017-01-17,0,3.777947998
2017-01-18,0,3.049981689
2017-01-19,0,8.814416504
2017-01-20,0,8.541070557
2017-01-21,0,6.50411377
2017-01-22,0,5.314080811
2017-01-23,0,6.817041016
2017-01-24,0,6.458093262
2017-01-25,0,6.762902832
2017-01-26,0,5.06005249
2017-01-27,0,5.919976807
2017-01-28,0,8.2746521
2017-01-29,0,5.908197021
2017-01-30,0,4.459558105
2017-01-31,0,4.878961182
2017-02-01,0,4.873895264
2017-02-02,0,5.182305908
